nombre_imagen,estado,histograma_tonos
20250310_091508.jpg,Florecimiento Pleno,158180 103914 100402 116480 185549 202107 159042 117263 185381 155671 80619 119437 74074 131919 74721 111799 111865 123441 151089 248166 301337 450986 659003 761716 736524 458302 300935 98846 101909 106097 161836 63186 126135 136874 218783 329265 124824 135237 201415 198295 229398 147494 185850 344213 172910 198790 314135 120909 281213 112738 161005 208361 148996 156867 144792 134454 131188 90050 89871 42888 79361 23597 54420 55477 27102 33076 57244 42452 22018 42831 18894 9245 13955 8836 17314 8020 6100 5828 549 5032 13791 995 1966 5375 7176 4431 2207 9858 2610 2195 11432 3553 3190 4366 2228 13526 6960 2317 13449 4486 4130 18680 18135 61147 46499 1068925 55656 208373 21405 48841 26109 38820 55747 31004 9649 16397 51476 141 4938 992 36787 0 24965 68 36562 48083 5574 2679 23688 7746 11258 237 12975 44254 593 10381 12213 0 22101 2121 16496 34173 10645 7357 4800 14799 33311 6675 3946 2 19285 0 7933 17358 0 22705 31646 15131 39476 32853 33729 16654 36864 33414 86557 52140 42390 30913 9548 42632 139888 16613 47174 53092 91844 72254 52612 135418 102814 85334
20250310_091514.jpg,Florecimiento Pleno,121447 85171 97152 82734 91193 91976 70179 53231 86926 63556 54728 85613 65172 116000 74143 96771 93932 86518 82997 129463 191095 342167 660502 810934 655746 248054 159958 88637 80898 80856 89422 63307 83013 95258 111129 185277 124730 145614 150979 157558 165115 139776 183502 218141 173253 174178 240566 184277 222497 181630 241650 217826 155487 195801 141330 223723 196019 156802 165654 178858 140116 134256 110414 188285 149234 127391 165235 162459 100435 186631 91543 95953 65830 114181 88218 87463 28174 58598 22608 8027 50970 4162 21516 10381 19820 15843 8546 19156 6548 6445 16121 8162 6070 6883 7834 19940 11590 4628 18924 9735 11981 36393 41835 103455 45829 93573 58552 249335 29275 112246 78993 182018 139209 204863 34333 41522 103071 5285 7300 6821 60909 0 31435 2852 29869 49576 5193 3973 23233 6313 10688 1000 10095 25618 1371 11213 5370 40 21809 1192 6607 22006 12962 1262 7788 13075 20029 15364 4465 1770 24282 938 6150 16056 1325 15559 21379 13922 19961 27289 16924 15206 9907 15263 37187 13408 19868 21520 7400 18733 83447 23684 65791 356333 202368 227281 81077 116101 85285 70976
20250311_094207.jpg,Florecimiento Pleno,142744 69960 84438 77566 74538 189127 99782 94842 223993 193696 225494 186716 108092 138101 127249 208543 238964 318340 359392 443350 508309 599620 600656 446796 404001 308243 418878 308606 257416 218458 210515 153513 213687 252934 245259 450849 250787 186685 195002 201911 192753 141774 160653 142195 107237 87737 98726 59780 65905 41041 53339 34923 17193 16140 12862 17281 12736 10381 6636 8603 8799 4492 3376 7197 3538 2492 6101 3789 995 4195 3064 1286 2712 1967 3559 3632 1520 2976 19 1606 4323 947 894 2492 2406 1265 1306 3784 840 871 3479 1945 827 1952 1583 3971 3486 1150 4256 2257 2716 7144 4365 14492 13639 178692 504051 389700 369487 927794 461519 115868 125549 30888 57434 28284 82219 13014 13341 15113 59005 2684 38696 11005 26655 44264 12075 9664 22185 11435 16284 3506 11023 22917 2184 10422 7572 1835 16890 1091 23309 16829 7747 2149 4405 17128 14059 6818 2153 3288 20954 2458 1790 9795 3557 7159 24958 6051 13581 11857 21458 7560 3849 24597 40775 25899 14640 11279 5880 58824 84389 11749 14943 29355 70434 61391 31695 96820 55223 42230
20250311_094213.jpg,Florecimiento Pleno,114468 31853 48391 55020 49525 86992 46371 36699 91181 106702 146164 149136 87968 177529 180006 283499 364457 387810 426354 505504 619606 718941 755510 555292 474483 289851 341933 195185 208712 238674 271345 153021 212629 318572 276725 514847 284525 179574 191926 202329 169873 117043 151519 122670 84288 69956 73311 39380 40324 28448 27183 18039 11560 10843 9908 10184 6206 5759 4300 2116 8385 704 2139 2760 206 2167 3483 1931 1613 2273 2431 491 1911 854 2652 1829 1246 888 0 1490 2980 648 35 1511 1656 595 68 2350 569 319 3094 496 600 1718 192 3900 1937 567 2741 2041 2191 5157 3728 10335 8512 158558 902519 1156562 424626 610466 325340 73393 56168 23348 22743 14079 38713 7433 5049 7081 25818 1825 22322 3980 22212 33111 6617 2738 14124 7316 12025 1868 5396 12368 1341 6251 3639 784 15934 575 5045 13950 7905 625 2259 9535 13909 3687 2716 1570 14192 5157 659 9067 2288 8861 17870 1452 6661 2662 10961 1118 814 11687 18335 12171 2760 1572 2657 36902 54486 2842 5323 19240 54107 38052 12013 69754 24522 20712
20250312_094249.jpg,Florecimiento Pleno,182174 73015 57671 32606 31103 96317 47837 32537 115364 139487 122390 108836 79325 140179 145612 233854 293995 331964 374691 412825 450468 430064 365739 270598 284459 204507 305534 183212 174655 174467 172767 114201 169765 211226 213471 376982 238266 253208 295432 310398 341954 260870 303599 308593 189747 164082 193752 89883 115601 63873 65271 56026 30916 25295 22406 21758 16883 14471 8859 8704 9001 3344 4149 7730 1758 2911 8761 4129 2050 4484 4571 1264 2872 3502 4800 3856 1553 2339 67 2766 8728 658 720 3590 2053 1366 906 6789 782 960 6308 1817 1132 2662 1894 5369 7335 1644 7520 3576 3809 12632 6779 27112 31602 247751 1328865 1158903 269464 564369 379660 71347 71353 16640 47124 10743 48073 6170 12827 14698 27332 1159 21240 13351 17505 32163 6896 11165 15506 6303 14389 3109 7684 17798 2229 8692 8139 2113 16419 2024 7704 11411 8213 4120 6075 10623 10692 7231 3829 3179 14230 2203 3045 13246 3660 11545 20542 8944 15276 21282 12261 11081 5551 16327 27364 19950 32138 25572 25140 20928 68615 22166 16923 43197 46461 23663 14442 45248 29776 81582
20250314_095645.jpg,Florecimiento Pleno,345283 201017 258730 298418 517576 910424 953831 434704 284225 192418 176073 218957 204374 283901 227244 274377 247136 267398 268689 300809 319529 284543 327125 274601 323916 241655 364119 262280 193307 219451 205787 159903 193790 194846 224878 359137 229960 186234 246978 239667 197766 138400 147430 121903 95454 90637 98455 77234 74309 46966 58138 31606 18535 16616 12453 12803 8251 5817 4009 3891 12001 1669 2033 2799 1147 1654 3966 2088 1173 2537 1811 1230 1183 1543 2420 4130 1535 1531 652 1152 4575 498 1385 1991 2533 1925 1048 3393 1075 1276 3909 1725 1970 2182 2869 4925 5120 1606 6308 3686 4304 9751 6927 18178 14019 47495 184709 204281 143770 119443 69609 65240 56239 82756 20073 34507 82276 13378 8681 9347 98301 6104 26851 6057 39235 78181 18245 2908 12032 12346 21396 2329 23823 42690 3928 7446 5980 2903 11794 3213 18279 19272 4890 3763 3818 19973 13202 4600 3075 3748 15310 2702 4761 9553 3152 12270 30429 7543 10074 8765 19960 5983 4648 17895 20285 35877 8205 8860 6248 22586 64827 7594 11189 45870 36757 46316 46263 154619 199742 172168
20250325_102822.jpg,Florecimiento Pleno,41389 478 2802 4552 739 11556 6482 1767 10107 9547 10821 32552 38035 67556 61465 114764 241357 481135 546255 771815 870840 1033168 711418 306119 283450 283083 315635 220169 237722 228181 234068 290658 286907 275743 305007 457531 328916 215796 302766 298339 319118 359736 423346 377780 371570 290536 411878 361779 338913 243169 302841 220602 108363 136174 97672 135525 96385 67633 54772 102914 97628 107564 18548 125117 96262 88853 53391 56998 18655 36230 18286 5126 1873 3291 1074 5539 8 149 14 7 1099 0 0 1798 0 0 0 0 0 0 28 0 0 0 0 0 3085 0 9 0 2 106 0 2429 0 0 949 0 0 8691 6802 29125 0 8570 6426 11437 13 0 0 0 92731 0 0 0 53860 54550 10036 0 16739 440 45307 0 9019 19318 0 1155 199 0 18581 0 26513 27280 1763 0 15 1637 11245 227 0 0 3069 0 0 10279 0 1904 5684 266 297 38 6500 0 7 2315 5714 12724 3 20 4 1418 6057 30 129 5041 494 1077 285 4812 304 368
20250325_102825.jpg,Florecimiento Pleno,258787 28197 74016 91710 35431 210769 49741 39804 113318 97650 80249 117416 121538 168201 207457 266682 418688 521417 635223 625933 713303 1122679 1180201 219249 152568 105673 184497 173396 192045 200266 211990 208359 225265 176527 170590 266888 187118 123700 156372 187582 205089 179744 224371 223826 189091 172203 208336 134491 155138 86127 141489 69076 33507 32199 27600 26235 21719 9836 6235 3247 60977 1606 1839 6890 621 812 4845 50 37 139 1058 72 1 6 1 1583 0 5 35 2 525 0 0 131 0 0 0 0 0 0 11 0 0 0 0 0 4 0 15 0 6 0 0 0 0 0 0 0 0 0 82 0 0 0 88 68 0 0 0 0 2019 0 0 0 1064 3249 8640 0 1066 25 35428 0 42633 42524 0 603 83 0 18559 0 10099 142710 6901 3 192 110826 153368 2926 17 0 125269 0 1641 49466 0 80949 106584 45073 63620 94624 165238 30573 1119 154775 658577 2764 87711 285 6 268615 449073 3964 280 27902 60157 125241 4013 231572 26263 36180
20250325_102832.jpg,Florecimiento Pleno,22122 12860 14371 22276 46174 63983 87392 27494 19194 15165 18214 35529 33858 66938 103513 136534 165037 276421 526776 824914 1147207 1466066 1815985 1246830 653191 406637 497751 427370 357300 265634 232884 227427 290411 340480 223273 318818 190488 157427 208515 158821 109435 93239 133798 163437 151702 193599 208977 141369 95235 56428 37374 30242 16755 14900 15948 13726 14557 9582 4720 9991 14370 2903 4614 13309 92 5089 12956 9489 4015 5814 7691 2430 4304 7047 8565 3241 6619 774 0 8622 17410 502 0 4160 8482 5095 0 16295 4081 58 21096 3 7975 13687 0 36464 15309 27 13717 8327 10036 39302 33076 62171 151913 227631 110704 195190 21373 34163 16008 16874 9399 4603 6006 5334 5239 95 373 238 7538 0 1217 48 1498 4496 2354 40 1360 910 1038 10 1248 1542 8 1079 161 0 1813 7 1993 634 1203 19 546 987 880 1153 76 0 1384 0 381 991 0 1136 1974 1024 766 1802 1175 990 1471 327 2093 2042 1393 3799 16 493 7566 486 4116 2850 6279 5113 4012 10981 15553 11307
20250325_102835.jpg,Florecimiento Pleno,417200 3040 3834 6292 6084 20976 36883 20564 56622 61775 80356 141679 144635 253440 276157 413274 560967 588298 527668 622469 997558 942551 340058 126385 112580 85013 58250 36652 45382 47491 206517 27247 44085 47252 80552 194805 120728 153986 156232 160362 337459 189534 305909 348196 174795 197144 228168 94979 151986 58637 153256 77692 37323 33803 32659 54927 43308 26749 19630 18818 73402 9893 10323 24707 8426 14512 38109 15722 9227 16826 21270 2602 7289 13702 15138 218658 1527 2878 53 5956 33626 38 1461 41020 1082 1279 434 35405 10 16 41993 6 51 2542 0 58299 102119 0 163780 16 20 170495 64 1962920 90732 237 788659 29 528 273615 224951 114700 4191 1031 194649 106200 101 1 2 0 111683 0 65 6 2533 45637 55754 1 104 33 337 0 3506 1462 1 52 5 3 149 1 12899 240 89 1 13 655 206 39 6 0 376 0 4 65 0 34 2355 36 148 79 795 54 43 375 430 38157 192 71 19 626 3886 151 82 7968 558 412 264 4248 419 1312
